STA_SEQ,NAME,YLAT,XLONG,SDATE,SYEAR,BCG,YCNT,MINYEAR,MAXYEAR
14314,Natchaug River,41.8008,-72.1182,1997-10-10,1997,2.5,19,1989,2017
14441,Salmon River,41.5742,-72.4294,1997-10-10,1997,3,24,1991,2018
14300,Mill River,41.4307,-72.904,1997-10-14,1997,3.5,2,1997,2013
14301,Mill River,41.3828,-72.8967,1997-10-14,1997,3,3,1997,2013
14414,Quinnipiac River,41.4501,-72.8407,1997-10-14,1997,5,14,1991,2018
14309,Muddy River,41.458,-72.7685,1997-10-16,1997,3.488188976,1,1997,1997
14310,Muddy River,41.3802,-72.8271,1997-10-16,1997,4.322916667,2,1997,2014
14146,Branford River,41.3072,-72.7648,1997-10-17,1997,4.468085106,3,1997,2013
14489,West River,41.3303,-72.9663,1997-10-17,1997,5,3,1997,2011
14293,Mianus River,41.0806,-73.5812,1997-10-20,1997,4.5,4,1993,2013
14150,Byram River,41.0276,-73.6621,1997-10-20,1997,5,3,1997,2009
14221,Hammonasset River,41.3278,-72.6116,1997-10-21,1997,2.5,7,1997,2016
14491,West River,41.3574,-72.7206,1997-10-21,1997,3,1,1997,1997
14490,West River,41.3399,-72.7154,1997-10-23,1997,3,5,1997,2013
14188,Eightmile River,41.588,-72.8977,1997-10-24,1997,3.647727273,10,1993,2003
14450,Shepaug River,41.5489,-73.3308,1997-10-24,1997,3,26,1991,2018
14362,Ridgefield Brook,41.3158,-73.4792,1997-10-28,1997,3.631578947,4,1997,2013
14360,Norwalk River,41.2675,-73.4414,1997-10-28,1997,3,10,1997,2020
14363,Norwalk River,41.3101,-73.4691,1997-10-28,1997,5,3,1997,2013
14364,Norwalk River,41.2569,-73.4288,1997-10-28,1997,5,1,1997,1997
14371,Norwalk River,41.1267,-73.4295,1997-10-29,1997,4.666666667,2,1997,2006
14369,Norwalk River,41.2048,-73.4306,1997-10-29,1997,3,1,1997,1997
14452,Silvermine River,41.1503,-73.4434,1997-10-30,1997,4.25,3,1997,2007
14444,Saugatuck River,41.2945,-73.3948,1997-10-30,1997,3,23,1991,2018
14361,Norwalk River,41.1359,-73.426,1997-10-30,1997,5,9,1997,2020
14432,Rippowam River,41.0661,-73.5484,1997-10-31,1997,5,3,1997,2007
14473,Ten Mile River,41.5267,-72.9331,1997-11-04,1997,4,4,1997,2013
14417,Quinnipiac River,41.5878,-72.891,1997-11-04,1997,5,1,1997,1997
14226,Harbor Brook,41.5314,-72.8218,1997-11-04,1997,5,8,1989,2016
14201,Five Mile River,41.1418,-73.4833,1997-11-05,1997,5,2,1997,2007
14370,Norwalk River,41.1909,-73.4297,1997-11-05,1997,4,9,1997,2020
14394,Pequonnock River,41.2343,-73.1838,1997-11-06,1997,5.25,6,1997,2016
14486,Wepawaug River,41.236,-73.0573,1997-11-06,1997,4,3,1997,2013
14395,Pequonnock River,41.2881,-73.2348,1997-11-13,1997,4,1,1997,1997
14298,Mill River,41.208,-73.257,1997-11-13,1997,4,3,1997,2013
14126,Aspetuck River,41.1864,-73.3429,1997-11-19,1997,3.5,2,1997,2013
14443,Saugatuck River,41.2245,-73.3469,1997-11-19,1997,4,1,1997,1997
14389,Pequabuck River,41.6693,-72.9936,1998-10-01,1998,4.53125,7,1990,2008
14390,Pequabuck River,41.6742,-72.9619,1998-10-01,1998,4.75,12,1990,2017
14392,Pequabuck River,41.6738,-72.8977,1998-10-01,1998,5,16,1990,2018
14391,Pequabuck River,41.6681,-72.9208,1998-10-01,1998,5,4,1989,1998
14158,Coppermine Brook,41.6777,-72.9077,1998-10-01,1998,4,2,1998,2008
14153,Coginchaug River,41.5547,-72.6737,1998-10-02,1998,4,5,1998,2014
14393,Pequabuck River,41.7046,-72.8504,1998-10-02,1998,5,7,1990,1998
14188,Eightmile River,41.588,-72.8977,1998-10-02,1998,4,10,1993,2003
14329,Naugatuck River,41.5304,-73.0402,1998-10-05,1998,5.75,7,1997,2004
14332,Naugatuck River,41.5002,-73.0503,1998-10-05,1998,5,9,1997,2018
14317,Naugatuck River,41.4435,-73.0642,1998-10-05,1998,5,17,1991,2018
14479,Trout Brook,41.7314,-72.7231,1998-10-06,1998,5.25,8,1989,2014
14397,Piper Brook,41.7186,-72.7274,1998-10-06,1998,5,3,1998,2008
14450,Shepaug River,41.5489,-73.3308,1998-10-07,1998,3.25,26,1991,2018
14444,Saugatuck River,41.2945,-73.3948,1998-10-07,1998,3,23,1991,2018
14316,Naugatuck River,41.6159,-73.0579,1998-10-07,1998,5,15,1991,2019
14303,Muddy Brook,41.9838,-72.6582,1998-10-13,1998,5,3,1998,2008
14465,Stony Brook,41.9608,-72.711,1998-10-13,1998,4,4,1989,2008
14435,Salmon Brook,41.9366,-72.7749,1998-10-19,1998,3,2,1998,2004
14484,West Branch Salmon Brook,41.9372,-72.8215,1998-10-19,1998,2,7,1998,2017
14198,FARMINGTON RIVER,41.7723,-72.822,1998-10-20,1998,4.912935323,1,1998,1998
14148,Bunnell Brook,41.7846,-72.9657,1998-10-20,1998,3,3,1989,2008
14349,Nepaug River,41.83,-72.9947,1998-10-20,1998,3,3,1998,2012
14197,FARMINGTON RIVER,41.7508,-72.8717,1998-10-20,1998,3,8,1995,2018
14442,Sandy Brook,41.974,-73.0406,1998-10-21,1998,2,25,1993,2018
14283,Mad River,41.9199,-73.0597,1998-10-21,1998,4,5,1998,2012
14460,Still River,41.9476,-73.0487,1998-10-21,1998,4,1,1998,1998
14461,Sandy Brook (Still River),41.9685,-73.0331,1998-10-21,1998,3,6,1998,2018
14459,Still River,41.929,-73.0584,1998-10-21,1998,4,4,1998,2008
