STA_SEQ,YLAT,XLONG,SDATE,SYEAR,BCG,MEM
14392,41.6738,-72.8977,2004-09-23,2004,5,1
14479,41.7314,-72.7231,2004-09-23,2004,5,1
14288,41.6189,-72.7127,2004-09-24,2004,5,1
14397,41.7186,-72.7274,2004-09-24,2004,5,1
14458,41.4389,-73.401,2004-09-27,2004,5,1
14464,41.4063,-73.4253,2004-09-27,2004,5,1
14147,41.9147,-72.549,2004-10-04,2004,5,1
14435,41.9366,-72.7749,2004-10-04,2004,3,1
14241,41.8503,-72.4878,2004-10-05,2004,5,1
15048,41.8666,-72.4648,2004-10-05,2004,4,1
14202,41.1365,-73.4793,2004-10-06,2004,5,1
14319,41.7361,-73.1054,2004-10-06,2004,5,1
14321,41.6497,-73.0774,2004-10-06,2004,5,1
14341,41.7891,-73.1145,2004-10-06,2004,5,1
14348,41.7631,-73.1173,2004-10-06,2004,5,1
14444,41.2945,-73.3948,2004-10-06,2004,3,1
14825,41.6743,-73.0695,2004-10-06,2004,5,1
14322,41.631,-73.0772,2004-10-07,2004,5,1
14329,41.5304,-73.0402,2004-10-07,2004,5,1
14332,41.5002,-73.0503,2004-10-07,2004,5,1
14456,41.5805,-73.0703,2004-10-07,2004,5,1
14628,41.5687,-73.0574,2004-10-07,2004,5,1
14716,41.5916,-73.0962,2004-10-07,2004,5,1
14206,41.9548,-71.884,2004-10-12,2004,4,1
14207,42.0248,-71.8843,2004-10-12,2004,5,1
14226,41.5314,-72.8218,2004-10-13,2004,5,1
14580,41.9505,-72.3037,2004-10-13,2004,3,1
14581,41.9423,-72.3058,2004-10-13,2004,4,1
14583,41.9525,-72.3039,2004-10-13,2004,3,1
14413,41.528244,-72.856272,2004-10-14,2004,5,1
14414,41.4501,-72.8407,2004-10-14,2004,5,1
15479,41.5996,-72.8854,2004-10-14,2004,5,1
14800,41.6105,-73.1153,2004-10-18,2004,3,1
15543,41.5947,-72.1923,2004-10-25,2004,3,1
14686,42.0096,-73.2806,2004-10-27,2004,3,1
15004,41.8072,-73.3906,2004-10-27,2004,3,1
15005,41.7588,-73.1841,2004-10-27,2004,3,1
15010,41.5603,-72.3349,2004-10-27,2004,3,1
15011,41.5999,-71.9067,2004-10-27,2004,3,1
15012,41.5218,-73.2061,2004-10-27,2004,3,1
15017,41.3846,-73.1597,2004-10-27,2004,3,1
15024,41.6387,-73.2362,2004-10-27,2004,2,1
15013,41.4259,-72.9056,2004-10-28,2004,4,1
15018,41.4063,-72.771,2004-10-28,2004,4,1
14998,42.0192,-72.3127,2004-10-29,2004,4,1
15006,41.8078,-72.5204,2004-10-29,2004,5,1
15007,41.7398,-72.2017,2004-10-29,2004,2,1
14450,41.5489,-73.3308,2004-11-01,2004,3,1
14997,42.0135,-72.8435,2004-11-01,2004,2,1
15001,41.946,-72.8575,2004-11-01,2004,2,1
14221,41.3278,-72.6116,2004-11-02,2004,3,1
14285,41.5603,-73.0029,2004-11-08,2004,5,1
14968,41.5742,-72.9878,2004-11-08,2004,4,1
14969,41.5744,-72.9884,2004-11-08,2004,5,1
15583,41.5413,-73.0089,2004-11-08,2004,5,1
14392,41.6738,-72.8977,2005-10-20,2005,5,1
14479,41.7314,-72.7231,2005-10-21,2005,5,1
14284,41.5439,-73.0384,2005-10-24,2005,6,1
14463,41.3898,-73.4637,2005-10-24,2005,5,1
14706,41.3928,-71.9604,2005-10-31,2005,3,1
14720,41.4568,-71.8169,2005-10-31,2005,2,1
14605,41.5908,-72.9009,2005-11-01,2005,3,1
14314,41.8008,-72.1182,2005-11-02,2005,3,1
15092,41.8335,-72.2429,2005-11-02,2005,2,1
14450,41.5489,-73.3308,2005-11-03,2005,3,1
15990,41.8459,-72.3865,2006-09-15,2006,3,1
14706,41.3928,-71.9604,2006-09-18,2006,3,1
14186,41.3885,-73.1648,2006-09-19,2006,3,1
14195,41.2591,-73.0979,2006-09-19,2006,4,1
14280,41.4058,-73.0926,2006-09-19,2006,4,1
14156,41.1961,-73.4354,2006-09-20,2006,5,1
14314,41.8008,-72.1182,2006-09-20,2006,3,1
14441,41.5742,-72.4294,2006-09-20,2006,3,1
14445,41.1693,-73.367,2006-09-20,2006,4,1
15357,41.1457,-73.3012,2006-09-20,2006,5,1
15857,41.1521,-73.2726,2006-09-20,2006,5,1
15858,41.1984,-73.2647,2006-09-20,2006,5,1
14247,41.9431,-73.3058,2006-09-21,2006,3,1
14442,41.974,-73.0406,2006-09-21,2006,3,1
14576,41.6008,-72.7141,2006-09-21,2006,4,1
15413,41.605,-72.7577,2006-09-21,2006,4,1
15965,41.5871,-72.3868,2006-09-21,2006,3,1
15999,41.2665,-73.0049,2006-09-25,2006,4,1
16002,41.0274,-73.661,2006-09-25,2006,5,1
16025,41.1276,-73.3294,2006-09-25,2006,5,1
14355,41.5575,-73.2122,2006-09-26,2006,3,1
15530,41.5575,-73.2155,2006-09-26,2006,3,1
14183,41.5979,-73.4152,2006-09-27,2006,3,1
14450,41.5489,-73.3308,2006-09-27,2006,4,1
14472,41.5655,-72.8905,2006-09-27,2006,5,1
15065,41.2791,-72.8672,2006-09-27,2006,5,1
15087,41.3668,-72.8543,2006-09-27,2006,4,1
15997,41.5562,-73.3912,2006-09-27,2006,4,1
14710,41.683397,-73.298268,2006-09-28,2006,3,1
15005,41.7588,-73.1841,2006-09-28,2006,3,1
15138,41.7305,-73.1868,2006-09-28,2006,3,1
16022,41.5856,-73.2292,2006-09-28,2006,3,1
14439,41.9337,-73.3908,2006-10-03,2006,4,1
14520,41.9751,-73.4212,2006-10-03,2006,5,1
16028,41.8552,-73.3755,2006-10-03,2006,3,1
14444,41.2945,-73.3948,2006-10-04,2006,3,1
14605,41.5908,-72.9009,2006-10-04,2006,3,1
14176,41.8122,-73.1221,2006-10-05,2006,4,1
14254,41.8906,-73.3576,2006-10-05,2006,4,1
14482,41.8181,-73.1441,2006-10-05,2006,4,1
14804,41.8804,-73.331,2006-10-05,2006,3,1
15043,41.8212,-73.3713,2006-10-05,2006,3,1
15169,41.7594,-72.8808,2006-10-05,2006,5,1
16003,41.8199,-73.1461,2006-10-05,2006,4,1
16035,41.8342,-73.1786,2006-10-05,2006,3,1
14129,41.4684,-73.0501,2006-10-06,2006,4,1
14248,41.4987,-73.0537,2006-10-06,2006,5,1
14792,41.4864,-73.0556,2006-10-06,2006,5,1
14488,41.604889,-73.428789,2006-10-10,2006,3,1
15529,41.7298,-73.4884,2006-10-10,2006,3,1
14409,41.4162,-73.2824,2006-10-11,2006,3,1
15319,41.8158,-72.8294,2006-10-11,2006,4,1
15856,41.5699,-72.8733,2006-10-11,2006,5,1
15859,41.2931,-73.1442,2006-10-11,2006,4,1
15964,41.7681,-72.8497,2006-10-11,2006,4,1
14458,41.4389,-73.401,2006-10-16,2006,5,1
14464,41.4063,-73.4253,2006-10-16,2006,5,1
15670,41.3921,-73.4285,2006-10-16,2006,5,1
16029,41.3987,-73.4553,2006-10-16,2006,5,1
14132,42.0236,-73.341,2006-10-17,2006,4,1
14686,42.0096,-73.2806,2006-10-17,2006,4,1
14628,41.5687,-73.0574,2006-10-19,2006,5,1
14800,41.6105,-73.1153,2006-10-19,2006,4,1
14145,41.6434,-73.081,2006-10-24,2006,5,1
14284,41.5439,-73.0384,2006-10-24,2006,5,1
14316,41.6159,-73.0579,2006-10-25,2006,5,1
14317,41.4435,-73.0642,2006-10-25,2006,5,1
14318,41.3387,-73.0806,2006-10-25,2006,5,1
14321,41.6497,-73.0774,2006-10-25,2006,5,1
14322,41.631,-73.0772,2006-10-25,2006,5,1
14341,41.7891,-73.1145,2006-10-25,2006,5,1
14825,41.6743,-73.0695,2006-10-25,2006,5,1
16050,41.7485,-73.1129,2006-10-27,2006,5,1
14360,41.2675,-73.4414,2006-11-29,2006,3,1
14366,41.246,-73.4341,2006-11-29,2006,4,1
14370,41.1909,-73.4297,2006-11-29,2006,4,1
14371,41.1267,-73.4295,2006-11-29,2006,5,1
14553,41.2604,-73.4367,2006-11-29,2006,4,1
14853,41.2026,-73.4311,2006-11-29,2006,4,1
14206,41.9548,-71.884,2007-09-18,2007,4,1
14410,42.022,-71.9528,2007-09-18,2007,3,1
14609,41.9081,-71.9096,2007-09-18,2007,4,1
14735,41.5583,-72.112,2007-09-18,2007,4,1
16028,41.8552,-73.3755,2007-09-19,2007,3,1
16065,41.8148,-73.376,2007-09-19,2007,3,1
16076,41.7673,-73.4379,2007-09-19,2007,4,1
16110,41.6615,-72.5365,2007-09-19,2007,3,1
16111,41.4552,-72.5288,2007-09-19,2007,3,1
16120,41.5211,-72.4869,2007-09-19,2007,2,1
16121,41.5544,-72.4523,2007-09-19,2007,2,1
14413,41.528244,-72.856272,2007-09-20,2007,5,1
